UNIT;PLANT;COMPANY;MW;YEAR;FUEL;CITY;STATE;COUNTRY;CEC_PLANT_CODE;CEC_UNIT_CODE;COMMENT
AEOLUS TYRE 1;AEOLUS TYRE;AEOLUS TYRE CO LTD;25;2007;COAL;Sanyo Area - Jiaozuo City;Henan;CHINA;NA;NA;
AEOLUS TYRE 2;AEOLUS TYRE;AEOLUS TYRE CO LTD;25;2007;COAL;Sanyo Area - Jiaozuo City;Henan;CHINA;NA;NA;
AKSU COGEN 1;AKSU COGEN;ZHEJIANG ZHENENG ELEC POW CO;350;2015;COAL;Aksu City - Aksu Prefecture;Xinjiang;CHINA;NA;NA;
AKSU COGEN 2;AKSU COGEN;ZHEJIANG ZHENENG ELEC POW CO;350;2015;COAL;Aksu City - Aksu Prefecture;Xinjiang;CHINA;NA;NA;
ALAR CHEMICAL PLANT 1;ALAR CHEMICAL PLANT;XINJIANG AKSU NONGYISHI POWER;50;2011;COAL;Alar City - Aksu Prefecture;Xinjiang;CHINA;NA;NA;
ALAR XINHU 1;ALAR XINHU;ALAR SHENGYUAN THERMAL POW CO;350;2013;COAL;Alar City - Aksu Prefecture;Xinjiang;CHINA;NA;NA;
ALAR XINHU 2;ALAR XINHU;ALAR SHENGYUAN THERMAL POW CO;350;2014;COAL;Alar City - Aksu Prefecture;Xinjiang;CHINA;NA;NA;
AMERICAN VILLAGE 1;AMERICAN VILLAGE;JIANGSU YINLING GROUP CO;12;NA;COAL;Jiangyin City;Jiangsu;CHINA;NA;NA;
ANHUI BENGBU 1;ANHUI BENGBU;CHINA NATL ENERGY INVEST GROUP;600;2008;COAL;Huaiyuan County - Bengbu CIty;Anhui;CHINA;34026;1;
ANHUI BENGBU 2;ANHUI BENGBU;CHINA NATL ENERGY INVEST GROUP;600;2009;COAL;Huaiyuan County - Bengbu CIty;Anhui;CHINA;34026;2;
ANHUI BENGBU 3;ANHUI BENGBU;CHINA NATL ENERGY INVEST GROUP;660;2018;COAL;Huaiyuan County - Bengbu CIty;Anhui;CHINA;NA;NA;
ANHUI BENGBU 4;ANHUI BENGBU;CHINA NATL ENERGY INVEST GROUP;660;2018;COAL;Huaiyuan County - Bengbu CIty;Anhui;CHINA;NA;NA;
ANHUI GOLDEN RESOURCES 1;ANHUI GOLDEN RESOURCES;HEFEI THERMOELECTRIC GROUP CO;25;2007;COAL;Hefei City;Anhui;CHINA;NA;NA;
ANHUI GOLDEN RESOURCES 2;ANHUI GOLDEN RESOURCES;HEFEI THERMOELECTRIC GROUP CO;50;2009;COAL;Hefei City;Anhui;CHINA;NA;NA;
ANHUI HWASU 1;ANHUI HWASU;ANHUI HWASU CORP;300;2012;COAL;Dingyuan County - Chuzhou City;Anhui;CHINA;NA;NA;
ANHUI HWASU 2;ANHUI HWASU;ANHUI HWASU CORP;300;2012;COAL;Dingyuan County - Chuzhou City;Anhui;CHINA;NA;NA;
ANHUI WINE 1;ANHUI WINE;ANHUI WELL-TRIBUTE WINE CO;12;NA;COAL;Hefei City;Anhui;CHINA;NA;NA;
ANHUI XUANCHENG 1;ANHUI XUANCHENG;SDIC HUAJING POWER HOLDINGS CO;660;2008;COAL;Xuanzhou Dist - Xuancheng City;Anhui;CHINA;34027;1;
ANHUI XUANCHENG 2;ANHUI XUANCHENG;SDIC HUAJING POWER HOLDINGS CO;660;2016;COAL;Xuanzhou Dist - Xuancheng City;Anhui;CHINA;NA;NA;
ANHUI XUANCHENG 3;ANHUI XUANCHENG;SDIC HUAJING POWER HOLDINGS CO;1000;NA;COAL;Xuanzhou Dist - Xuancheng City;Anhui;CHINA;NA;NA;
ANHUI XUANCHENG 4;ANHUI XUANCHENG;SDIC HUAJING POWER HOLDINGS CO;1000;NA;COAL;Xuanzhou Dist - Xuancheng City;Anhui;CHINA;NA;NA;
ANLONG COUNTY 1;ANLONG COUNTY;ANLONG XINYU RESOURCES DEV CO;350;2020;COAL;Anlong County - Qiannan Buyi/Miao AP;Guizhou;CHINA;NA;NA;
ANLONG COUNTY 2;ANLONG COUNTY;ANLONG XINYU RESOURCES DEV CO;350;2020;COAL;Anlong County - Qiannan Buyi/Miao AP;Guizhou;CHINA;NA;NA;
ANPING 1;ANPING;SDIC XIYANG ENERGY CO LTD;150;2007;COAL;Leping Xiyang County - Jinzhong City;Shanxi;CHINA;NA;NA;
ANPING 2;ANPING;SDIC XIYANG ENERGY CO LTD;150;2007;COAL;Leping Xiyang County - Jinzhong City;Shanxi;CHINA;NA;NA;
ANQING 1;ANQING;SHENHUA SHENWAN WANJIANG POWER;300;2005;COAL;Yingjiang Dist - Anqing City;Anhui;CHINA;34007;1;
ANQING 2;ANQING;SHENHUA SHENWAN WANJIANG POWER;300;2005;COAL;Yingjiang Dist - Anqing City;Anhui;CHINA;34007;2;
ANQING 3;ANQING;SHENHUA SHENWAN WANJIANG POWER;1000;2014;COAL;Yingjiang Dist - Anqing City;Anhui;CHINA;NA;NA;
ANQING 4;ANQING;SHENHUA SHENWAN WANJIANG POWER;1000;2015;COAL;Yingjiang Dist - Anqing City;Anhui;CHINA;NA;NA;
ANSHAN NORTH 1;ANSHAN NORTH;CHINA NATL ENERGY INVEST GROUP;300;NA;COAL;Lingshan - Anshan City;Liaoning;CHINA;NA;NA;
ANSHAN NORTH 2;ANSHAN NORTH;CHINA NATL ENERGY INVEST GROUP;300;NA;COAL;Lingshan - Anshan City;Liaoning;CHINA;NA;NA;
ANSHAN NORTH 3;ANSHAN NORTH;CHINA NATL ENERGY INVEST GROUP;300;NA;COAL;Lingshan - Anshan City;Liaoning;CHINA;NA;NA;
ANSHAN NORTH 4;ANSHAN NORTH;CHINA NATL ENERGY INVEST GROUP;300;NA;COAL;Lingshan - Anshan City;Liaoning;CHINA;NA;NA;
ANSHAN SOUTH 1;ANSHAN SOUTH;CHINA NATL ENERGY INVEST GROUP;300;NA;COAL;Lohutun - Anshan City;Liaoning;CHINA;NA;NA;
ANSHAN SOUTH 2;ANSHAN SOUTH;CHINA NATL ENERGY INVEST GROUP;300;NA;COAL;Lohutun - Anshan City;Liaoning;CHINA;NA;NA;
ANSHAN SOUTH 3;ANSHAN SOUTH;CHINA NATL ENERGY INVEST GROUP;300;NA;COAL;Lohutun - Anshan City;Liaoning;CHINA;NA;NA;
ANSHAN SOUTH 4;ANSHAN SOUTH;CHINA NATL ENERGY INVEST GROUP;300;NA;COAL;Lohutun - Anshan City;Liaoning;CHINA;NA;NA;
ANSHUN-1 NO 1;ANSHUN-1;GUIZHOU CLP POWER CO;300;1998;COAL;Puding County - Guiyang City;Guizhou;CHINA;74010;1;
ANSHUN-1 NO 2;ANSHUN-1;GUIZHOU CLP POWER CO;300;1999;COAL;Puding County - Guiyang City;Guizhou;CHINA;74010;2;
ANSHUN-2 NO 1;ANSHUN-2;CHINA NATL ENERGY INVEST GROUP;300;2003;COAL;Puding County - Guiyang City;Guizhou;CHINA;74010;3;
ANSHUN-2 NO 2;ANSHUN-2;CHINA NATL ENERGY INVEST GROUP;300;2003;COAL;Puding County - Guiyang City;Guizhou;CHINA;74010;4;
ANSHUN-2 NO 3;ANSHUN-2;CHINA NATL ENERGY INVEST GROUP;660;NA;COAL;Puding County - Guiyang City;Guizhou;CHINA;NA;NA;
ANSHUN-2 NO 4;ANSHUN-2;CHINA NATL ENERGY INVEST GROUP;660;NA;COAL;Puding County - Guiyang City;Guizhou;CHINA;NA;NA;
ANTAIBAO GANGUE 1;ANTAIBAO GANGUE;CHINACOAL PINGSHUO COAL CO LTD;350;NA;COAL;Pinglu Dist - Shuozhou City;Shanxi;CHINA;NA;NA;
ANTAIBAO GANGUE 2;ANTAIBAO GANGUE;CHINACOAL PINGSHUO COAL CO LTD;350;NA;COAL;Pinglu Dist - Shuozhou City;Shanxi;CHINA;NA;NA;
ANWEN SONGZAO 1;ANWEN SONGZAO;CHONGQING SONGZAO SEMBCORP ELE;150;2006;COAL;Qijiang County - Chongqing City;Chongqing;CHINA;NA;NA;
ANWEN SONGZAO 2;ANWEN SONGZAO;CHONGQING SONGZAO SEMBCORP ELE;150;2006;COAL;Qijiang County - Chongqing City;Chongqing;CHINA;NA;NA;
ANWEN SONGZAO 3;ANWEN SONGZAO;CHONGQING SONGZAO SEMBCORP ELE;660;2016;COAL;Qijiang County - Chongqing City;Chongqing;CHINA;NA;NA;
ANWEN SONGZAO 4;ANWEN SONGZAO;CHONGQING SONGZAO SEMBCORP ELE;660;2017;COAL;Qijiang County - Chongqing City;Chongqing;CHINA;NA;NA;
BAGONG 1;BAGONG;CHINA POWER INVESTMENT CORP;12;1968;COAL;Jianhe County - Qiandongnan MD AP;Guizhou;CHINA;NA;NA;
BAGONG 2;BAGONG;CHINA POWER INVESTMENT CORP;12;1969;COAL;Jianhe County - Qiandongnan MD AP;Guizhou;CHINA;NA;NA;
BAGONG 3;BAGONG;CHINA POWER INVESTMENT CORP;12;1970;COAL;Jianhe County - Qiandongnan MD AP;Guizhou;CHINA;NA;NA;
BAGONG 4;BAGONG;CHINA POWER INVESTMENT CORP;12;1971;COAL;Jianhe County - Qiandongnan MD AP;Guizhou;CHINA;NA;NA;
BAGONG 5;BAGONG;CHINA POWER INVESTMENT CORP;15;NA;COAL;Jianhe County - Qiandongnan MD AP;Guizhou;CHINA;NA;NA;
BAGONG 6;BAGONG;CHINA POWER INVESTMENT CORP;15;NA;COAL;Jianhe County - Qiandongnan MD AP;Guizhou;CHINA;NA;NA;
BAGUANHE WASHERY 1;BAGUANHE WASHERY;PANZHIHUA COAL GROUP;150;2005;COAL;Panzhihua City;Sichuan;CHINA;NA;NA;
BAGUANHE WASHERY 2;BAGUANHE WASHERY;PANZHIHUA COAL GROUP;150;2005;COAL;Panzhihua City;Sichuan;CHINA;NA;NA;
BAICHENG POWER 1;BAICHENG POWER;SPIC JILIN ELECTRIC POWER CO L;660;2010;COAL;Baicheng City;Jilin;CHINA;22006;1;
BAICHENG POWER 2;BAICHENG POWER;SPIC JILIN ELECTRIC POWER CO L;660;2010;COAL;Baicheng City;Jilin;CHINA;22006;2;
BAICHENG POWER 3;BAICHENG POWER;SPIC JILIN ELECTRIC POWER CO L;1000;NA;COAL;Baicheng City;Jilin;CHINA;NA;NA;
BAICHENG POWER 4;BAICHENG POWER;SPIC JILIN ELECTRIC POWER CO L;1000;NA;COAL;Baicheng City;Jilin;CHINA;NA;NA;
BAICHENG POWER 5;BAICHENG POWER;SPIC JILIN ELECTRIC POWER CO L;1000;NA;COAL;Baicheng City;Jilin;CHINA;NA;NA;
BAICHENG POWER 6;BAICHENG POWER;SPIC JILIN ELECTRIC POWER CO L;1000;NA;COAL;Baicheng City;Jilin;CHINA;NA;NA;
BAICHENG-1 NO 1;BAICHENG-1;XINJIANG ELECTRIC POWER CO;25;NA;COAL;Baicheng City;Xinjiang;CHINA;NA;NA;
BAICHENG-1 NO 2;BAICHENG-1;XINJIANG ELECTRIC POWER CO;25;NA;COAL;Baicheng City;Xinjiang;CHINA;NA;NA;
BAISE BAIKUANG 1;BAISE BAIKUANG;GUANGXI BAISE MINING GROUP;350;2016;COAL;Tianyang County - Baise City;Guangxi;CHINA;NA;NA;
BAISE BAIKUANG 2;BAISE BAIKUANG;GUANGXI BAISE MINING GROUP;350;2016;COAL;Tianyang County - Baise City;Guangxi;CHINA;NA;NA;
BAISE CITY 1;BAISE CITY;GUANGXI INVESTMENT GROUP CO;150;2007;COAL;Tianyang County - Baise City;Guangxi;CHINA;NA;NA;
BAISE CITY 2;BAISE CITY;GUANGXI INVESTMENT GROUP CO;150;2007;COAL;Tianyang County - Baise City;Guangxi;CHINA;NA;NA;
BAIYANGHE 1;BAIYANGHE;HUANENG SHANDONG POWER CO LTD;50;1969;COAL;Boshan Dist - Zibo City;Shandong;CHINA;17006;1;assumed based on correct numbering of later units
BAIYANGHE 2;BAIYANGHE;HUANENG SHANDONG POWER CO LTD;50;1970;COAL;Boshan Dist - Zibo City;Shandong;CHINA;17006;2;assumed based on correct numbering of later units
BAIYANGHE 3;BAIYANGHE;HUANENG SHANDONG POWER CO LTD;50;1971;COAL;Boshan Dist - Zibo City;Shandong;CHINA;17006;3;assumed based on correct numbering of later units
BAIYANGHE 4;BAIYANGHE;HUANENG SHANDONG POWER CO LTD;145;2003;COAL;Boshan Dist - Zibo City;Shandong;CHINA;17006;4;assumed based on correct numbering of later units
BAIYANGHE 5;BAIYANGHE;HUANENG SHANDONG POWER CO LTD;145;2003;COAL;Boshan Dist - Zibo City;Shandong;CHINA;17006;5;assumed based on correct numbering of later units
BAIYANGHE 6;BAIYANGHE;HUANENG SHANDONG POWER CO LTD;300;2009;COAL;Boshan Dist - Zibo City;Shandong;CHINA;17006;6;
BAIYANGHE 7;BAIYANGHE;HUANENG SHANDONG POWER CO LTD;300;2009;COAL;Boshan Dist - Zibo City;Shandong;CHINA;17006;7;
BAIYIN ALUMINIUM PLANT 1;BAIYIN ALUMINIUM PLANT;CHINA NAT NONFERROUS METALS;125;NA;COAL;Baiyin City;Gansu;CHINA;NA;NA;
BAIYIN ALUMINIUM PLANT 2;BAIYIN ALUMINIUM PLANT;CHINA NAT NONFERROUS METALS;125;NA;COAL;Baiyin City;Gansu;CHINA;NA;NA;
BAIYIN COGEN 1;BAIYIN COGEN;GANSU JINGYUAN COAL MINE GROUP;350;2015;COAL;Yindong Dist - Baiyin City;Gansu;CHINA;NA;NA;
BAIYIN COGEN 2;BAIYIN COGEN;GANSU JINGYUAN COAL MINE GROUP;350;2016;COAL;Yindong Dist - Baiyin City;Gansu;CHINA;NA;NA;
BAIYINHUA GONGYE 1;BAIYINHUA GONGYE;CHINA POWER INTL DEV LTD;350;NA;COAL;Xiwuzhumuqin Qi - Xilingol League;Inner Mongolia;CHINA;NA;NA;
BAIYINHUA GONGYE 2;BAIYINHUA GONGYE;CHINA POWER INTL DEV LTD;350;NA;COAL;Xiwuzhumuqin Qi - Xilingol League;Inner Mongolia;CHINA;NA;NA;
BAIYINHUA JINSHAN 1;BAIYINHUA JINSHAN;CHINA HUADIAN GROUP CORP;600;2009;COAL;Xiwuzhumuqin Qi - Xilingol League;Inner Mongolia;CHINA;15068;1;
BAIYINHUA JINSHAN 2;BAIYINHUA JINSHAN;CHINA HUADIAN GROUP CORP;600;2010;COAL;Xiwuzhumuqin Qi - Xilingol League;Inner Mongolia;CHINA;15068;2;
BAIYINHUA JINSHAN 3;BAIYINHUA JINSHAN;CHINA HUADIAN GROUP CORP;660;NA;COAL;Xiwuzhumuqin Qi - Xilingol League;Inner Mongolia;CHINA;NA;NA;
BAIYINHUA JINSHAN 4;BAIYINHUA JINSHAN;CHINA HUADIAN GROUP CORP;660;NA;COAL;Xiwuzhumuqin Qi - Xilingol League;Inner Mongolia;CHINA;NA;NA;
BAODING BADA 1;BAODING BADA;SAN MIGUEL BADA BREWERY;13.6;1997;COAL;Baoding City;Hebei;CHINA;NA;NA;
BAODING HUACHENG 1;BAODING HUACHENG;CHINA DATANG CORP;25;1959;COAL;Baoding City;Hebei;CHINA;NA;NA;
BAODING HUACHENG 2;BAODING HUACHENG;CHINA DATANG CORP;25;1960;COAL;Baoding City;Hebei;CHINA;NA;NA;
BAODING HUACHENG 3;BAODING HUACHENG;CHINA DATANG CORP;55;1969;COAL;Baoding City;Hebei;CHINA;NA;NA;
BAODING HUACHENG 4;BAODING HUACHENG;CHINA DATANG CORP;50;1972;COAL;Baoding City;Hebei;CHINA;NA;NA;
BAODING HUACHENG 5;BAODING HUACHENG;CHINA DATANG CORP;50;1981;COAL;Baoding City;Hebei;CHINA;NA;NA;
BAODING HUACHENG 6;BAODING HUACHENG;CHINA DATANG CORP;25;1988;COAL;Baoding City;Hebei;CHINA;NA;NA;
BAODING NORTHWEST 1;BAODING NORTHWEST;SHENZHEN ENERGY GROUP CO LTD;350;2017;COAL;Mancheng Dist - Baoding City;Hebei;CHINA;NA;NA;
BAODING NORTHWEST 2;BAODING NORTHWEST;SHENZHEN ENERGY GROUP CO LTD;350;2018;COAL;Mancheng Dist - Baoding City;Hebei;CHINA;NA;NA;
BAOFENG GANGUE 1;BAOFENG GANGUE;NINGXIA BAOFENG ENERGY GROUP;350;NA;COAL;Linhe Town - Lingwu City;Ningxia Hui;CHINA;NA;NA;
BAOFENG GANGUE 2;BAOFENG GANGUE;NINGXIA BAOFENG ENERGY GROUP;350;NA;COAL;Linhe Town - Lingwu City;Ningxia Hui;CHINA;NA;NA;
BAOJI-1 NO 1;BAOJI-1;NORTHWEST CHINA ELECTRIC POWER;50;1959;COAL;Baoji City;Shaanxi;CHINA;NA;NA;
BAOJI-1 NO 2;BAOJI-1;NORTHWEST CHINA ELECTRIC POWER;50;1959;COAL;Baoji City;Shaanxi;CHINA;NA;NA;
BAOJI-1 NO 3;BAOJI-1;NORTHWEST CHINA ELECTRIC POWER;50;1960;COAL;Baoji City;Shaanxi;CHINA;NA;NA;
BAOJI-1 NO 4;BAOJI-1;NORTHWEST CHINA ELECTRIC POWER;50;1960;COAL;Baoji City;Shaanxi;CHINA;NA;NA;
BAOJI-1 NO 5;BAOJI-1;NORTHWEST CHINA ELECTRIC POWER;25;1960;COAL;Baoji City;Shaanxi;CHINA;NA;NA;
BAOJI-1 NO 6;BAOJI-1;NORTHWEST CHINA ELECTRIC POWER;25;1960;COAL;Baoji City;Shaanxi;CHINA;NA;NA;
BAOJI-2 NO 1;BAOJI-2;CHINA NATL ENERGY INVEST GROUP;300;1998;COAL;Fengxiang County - Baoji City;Shaanxi;CHINA;61013;1;assumption based on correct numbering of later units
BAOJI-2 NO 2;BAOJI-2;CHINA NATL ENERGY INVEST GROUP;300;1999;COAL;Fengxiang County - Baoji City;Shaanxi;CHINA;61013;2;assumption based on correct numbering of later units
BAOJI-2 NO 3;BAOJI-2;CHINA NATL ENERGY INVEST GROUP;300;2000;COAL;Fengxiang County - Baoji City;Shaanxi;CHINA;61013;3;assumption based on correct numbering of later units
BAOJI-2 NO 4;BAOJI-2;CHINA NATL ENERGY INVEST GROUP;300;2001;COAL;Fengxiang County - Baoji City;Shaanxi;CHINA;61013;4;assumption based on correct numbering of later units
BAOJI-2 NO 5;BAOJI-2;CHINA NATL ENERGY INVEST GROUP;660;2011;COAL;Fengxiang County - Baoji City;Shaanxi;CHINA;61013;5;
BAOJI-2 NO 6;BAOJI-2;CHINA NATL ENERGY INVEST GROUP;660;2011;COAL;Fengxiang County - Baoji City;Shaanxi;CHINA;61013;6;only in newer versions of database - https://wenku.baidu.com/view/0abea8586d175f0e7cd184254b35eefdc8d3152d.html
BAOQING 1;BAOQING;CHINA NATL ENERGY INVEST GROUP;660;2012;COAL;Yilan County - Shaoyang City;Heilongjiang;CHINA;NA;NA;
BAOQING 2;BAOQING;CHINA NATL ENERGY INVEST GROUP;660;2012;COAL;Yilan County - Shaoyang City;Heilongjiang;CHINA;NA;NA;
BAOSHAN WORKS 1;BAOSHAN WORKS;CHINA BAOWU STEEL GROUP CORP;350;1980;COAL;Shanghai City;Shanghai;CHINA;NA;NA;
BAOSHAN WORKS 2;BAOSHAN WORKS;CHINA BAOWU STEEL GROUP CORP;350;1980;COAL;Shanghai City;Shanghai;CHINA;NA;NA;
BAOSHAN WORKS 3;BAOSHAN WORKS;CHINA BAOWU STEEL GROUP CORP;350;1998;COAL;Shanghai City;Shanghai;CHINA;NA;NA;
BAOSTEEL ZHANJIANG 1;BAOSTEEL ZHANJIANG;BAOSTEEL ZHANJIANG I&S CO LTD;350;2013;COAL;Zhanjiang City;Guangdong;CHINA;NA;NA;
BAOSTEEL ZHANJIANG 2;BAOSTEEL ZHANJIANG;BAOSTEEL ZHANJIANG I&S CO LTD;350;2013;COAL;Zhanjiang City;Guangdong;CHINA;NA;NA;
BAOTOU ALUMINIUM 1;BAOTOU ALUMINIUM;BAOTOU ALUMINIUM (GROUP) CO;330;2014;COAL;Donghe Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU ALUMINIUM 2;BAOTOU ALUMINIUM;BAOTOU ALUMINIUM (GROUP) CO;330;2014;COAL;Donghe Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU DONGHUA 1;BAOTOU DONGHUA;CHINA HUADIAN GROUP CORP;300;2005;COAL;Baotou City;Inner Mongolia;CHINA;15029;1;
BAOTOU DONGHUA 2;BAOTOU DONGHUA;CHINA HUADIAN GROUP CORP;300;2005;COAL;Baotou City;Inner Mongolia;CHINA;15029;2;
BAOTOU HEXI 1;BAOTOU HEXI;CHINA HUADIAN GROUP CORP;600;2006;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU HEXI 2;BAOTOU HEXI;CHINA HUADIAN GROUP CORP;600;2006;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU OLEFINS 1;BAOTOU OLEFINS;CHINA SHENHUA ENERGY CO LTD;100;2009;COAL;Jiuyuan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU OLEFINS 2;BAOTOU OLEFINS;CHINA SHENHUA ENERGY CO LTD;100;2009;COAL;Jiuyuan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU OLEFINS 3;BAOTOU OLEFINS;CHINA SHENHUA ENERGY CO LTD;100;2009;COAL;Jiuyuan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU OLEFINS 4;BAOTOU OLEFINS;CHINA SHENHUA ENERGY CO LTD;100;2009;COAL;Jiuyuan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU OLEFINS 5;BAOTOU OLEFINS;CHINA SHENHUA ENERGY CO LTD;100;2009;COAL;Jiuyuan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU OLEFINS 6;BAOTOU OLEFINS;CHINA SHENHUA ENERGY CO LTD;100;2009;COAL;Jiuyuan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU SANFENG 8;BAOTOU SANFENG;BAOTOU SANFENG RARE-EARTH CO;50;1996;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU SANFENG 9;BAOTOU SANFENG;BAOTOU SANFENG RARE-EARTH CO;50;1996;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU TEXTILE 1;BAOTOU TEXTILE;INNER MONGOLIA SAILI TE'ER TEX;6;NA;COAL;Xinjian Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU TEXTILE 2;BAOTOU TEXTILE;INNER MONGOLIA SAILI TE'ER TEX;3;NA;COAL;Xinjian Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU TUYOU 1;BAOTOU TUYOU;HUADIAN BAOTOU POWER CO;660;2016;COAL;Tumed Youqi - Hohhot City;Inner Mongolia;CHINA;NA;NA;
BAOTOU TUYOU 2;BAOTOU TUYOU;HUADIAN BAOTOU POWER CO;660;2016;COAL;Tumed Youqi - Hohhot City;Inner Mongolia;CHINA;NA;NA;
BAOTOU WANSHUIQUAN 1;BAOTOU WANSHUIQUAN;INNER MONGOLIA ENERGY INV CO;300;2006;COAL;Jiuyuan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU WANSHUIQUAN 2;BAOTOU WANSHUIQUAN;INNER MONGOLIA ENERGY INV CO;300;2006;COAL;Jiuyuan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU WORKS 1;BAOTOU WORKS;BAOTOU IRON & STEEL (GROUP) CO;103;2001;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU WORKS 2;BAOTOU WORKS;BAOTOU IRON & STEEL (GROUP) CO;103;2001;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-1 NO 00;BAOTOU-1;NORTH UNITED POWER CO LTD;12;1959;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-1 NO 01;BAOTOU-1;NORTH UNITED POWER CO LTD;12;1959;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-1 NO 02;BAOTOU-1;NORTH UNITED POWER CO LTD;25;NA;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-1 NO 03;BAOTOU-1;NORTH UNITED POWER CO LTD;25;NA;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-1 NO 04;BAOTOU-1;NORTH UNITED POWER CO LTD;50;1961;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-1 NO 05;BAOTOU-1;NORTH UNITED POWER CO LTD;50;1961;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-1 NO 06;BAOTOU-1;NORTH UNITED POWER CO LTD;100;NA;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-1 NO 07;BAOTOU-1;NORTH UNITED POWER CO LTD;100;NA;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-1 NO 08;BAOTOU-1;NORTH UNITED POWER CO LTD;100;NA;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-1 NO 09;BAOTOU-1;NORTH UNITED POWER CO LTD;135;NA;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-1 NO 10;BAOTOU-1;NORTH UNITED POWER CO LTD;135;2008;COAL;Hondlon Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-2 NO 01;BAOTOU-2;NORTH UNITED POWER CO LTD;25;1958;COAL;Qingshan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-2 NO 02;BAOTOU-2;NORTH UNITED POWER CO LTD;25;1958;COAL;Qingshan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-2 NO 03;BAOTOU-2;NORTH UNITED POWER CO LTD;50;1966;COAL;Qingshan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-2 NO 04;BAOTOU-2;NORTH UNITED POWER CO LTD;25;1958;COAL;Qingshan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-2 NO 05;BAOTOU-2;NORTH UNITED POWER CO LTD;50;1970;COAL;Qingshan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-2 NO 06;BAOTOU-2;NORTH UNITED POWER CO LTD;50;1973;COAL;Qingshan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-2 NO 07;BAOTOU-2;NORTH UNITED POWER CO LTD;100;1990;COAL;Qingshan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-2 NO 08;BAOTOU-2;NORTH UNITED POWER CO LTD;100;1990;COAL;Qingshan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-2 NO 09;BAOTOU-2;NORTH UNITED POWER CO LTD;100;1990;COAL;Qingshan Dist - Baotou City;Inner Mongolia;CHINA;NA;NA;
BAOTOU-2 NO 10;BAOTOU-2;NORTH UNITED POWER CO LTD;200;2004;COAL;Qingshan Dist - Baotou City;Inner Mongolia;CHINA;15002;1;assumption based on correct numbering of later units
BAOTOU-2 NO 11;BAOTOU-2;NORTH UNITED POWER CO LTD;200;2004;COAL;Qingshan Dist - Baotou City;Inner Mongolia;CHINA;15002;2;assumption based on correct numbering of later units
BAOTOU-2 NO 12;BAOTOU-2;NORTH UNITED POWER CO LTD;300;2006;COAL;Qingshan Dist - Baotou City;Inner Mongolia;CHINA;15002;3;
